words,pos,stemmed,type
concessions,noun,n,weaksubj
condescend,verb,y,strongsubj
condescending,adj,n,strongsubj
condescendingly,adverb,n,strongsubj
condescension,noun,n,strongsubj
condemn,anypos,y,strongsubj
condemn,verb,y,strongsubj
condemnable,adj,n,strongsubj
condemnation,noun,n,strongsubj
condolence,noun,n,strongsubj
condolences,adj,n,strongsubj
condolences,noun,n,strongsubj
confess,verb,y,strongsubj
confession,noun,n,strongsubj
confessions,adj,n,strongsubj
confessions,noun,n,strongsubj
conflict,adj,n,weaksubj
conflict,noun,n,weaksubj
confound,anypos,y,weaksubj
confound,verb,y,weaksubj
confounded,anypos,y,weaksubj
confounding,anypos,y,weaksubj
confront,verb,y,weaksubj
confrontation,adj,n,strongsubj
confrontation,noun,n,strongsubj
confrontational,adj,n,weaksubj
confuse,verb,y,strongsubj
confused,anypos,y,strongsubj
confusing,adj,n,strongsubj
confusing,anypos,y,strongsubj
confusion,adj,n,strongsubj
confusion,noun,n,strongsubj
congested,adj,n,weaksubj
congestion,noun,n,weaksubj
conspicuous,adj,n,strongsubj
conspicuous,noun,n,strongsubj
conspicuously,anypos,y,strongsubj
conspiracies,adj,n,weaksubj
conspiracies,noun,n,weaksubj
conspiracy,adj,n,weaksubj
conspiracy,noun,n,weaksubj
conspirator,adj,n,strongsubj
conspirator,noun,n,strongsubj
conspiratorial,anypos,n,strongsubj
conspire,verb,y,strongsubj
consternation,noun,n,strongsubj
constrain,verb,y,weaksubj
constraint,noun,n,weaksubj
consume,verb,y,weaksubj
contagious,adj,n,weaksubj
contaminate,verb,y,weaksubj
contamination,noun,n,weaksubj
contempt,noun,n,strongsubj
contemptible,adj,n,strongsubj
contemptuous,adj,n,strongsubj
contemptuously,anypos,n,strongsubj
contend,verb,y,strongsubj
contention,noun,n,strongsubj
contentious,adj,n,strongsubj
contentious,noun,n,strongsubj
contort,verb,y,strongsubj
contortions,adj,n,strongsubj
contortions,noun,n,strongsubj
contradict,verb,y,strongsubj
contradiction,noun,n,strongsubj
contradictory,adj,n,strongsubj
contrariness,anypos,n,strongsubj
contrary,adj,n,strongsubj
contravene,verb,y,strongsubj
contrive,verb,y,strongsubj
contrived,anypos,n,strongsubj
controversial,adj,n,weaksubj
controversial,noun,n,weaksubj
controversy,adj,n,weaksubj
controversy,noun,n,weaksubj
convoluted,adj,n,strongsubj
coping,adj,n,weaksubj
coping,noun,n,weaksubj
corrode,verb,y,weaksubj
corrosion,noun,n,weaksubj
corrosive,adj,n,weaksubj
corrupt,adj,n,strongsubj
corrupt,verb,y,strongsubj
corruption,noun,n,strongsubj
costly,adj,n,weaksubj
counterproductive,adj,n,strongsubj
coupists,adj,n,strongsubj
coupists,noun,n,strongsubj
covetous,adj,n,strongsubj
covetous,anypos,n,strongsubj
cow,verb,y,weaksubj
coward,noun,n,strongsubj
cowardly,anypos,n,strongsubj
crackdown,adj,n,weaksubj
crackdown,noun,n,weaksubj
crafty,adj,n,strongsubj
cramped,adj,n,weaksubj
cranky,adj,n,strongsubj
crass,adj,n,strongsubj
